"ReplayID","Duration","Races"
"PvP_113",20568,"PvP"
"PvP_114",28603,"PvP"
"PvP_115",34851,"PvP"
"PvP_116",37973,"PvP"
"PvP_118",24752,"PvP"
"PvP_119",19404,"PvP"
"PvP_120",14596,"PvP"
"PvP_121",57591,"PvP"
"PvP_123",29820,"PvP"
"PvP_124",35205,"PvP"
"PvP_125",10111,"PvP"
"PvP_126",17084,"PvP"
"PvP_127",26454,"PvP"
"PvP_128",40067,"PvP"
"PvP_131",42600,"PvP"
"PvP_132",43404,"PvP"
"PvP_133",27043,"PvP"
"PvP_134",7118,"PvP"
"PvP_135",5627,"PvP"
"PvP_136",14733,"PvP"
"PvP_137",25308,"PvP"
"PvP_139",24364,"PvP"
"PvP_140",51324,"PvP"
"PvP_141",27871,"PvP"
"PvP_142",34663,"PvP"
"PvP_143",36647,"PvP"
"PvP_144",35283,"PvP"
"PvP_145",47222,"PvP"
"PvP_146",39720,"PvP"
"PvP_147",34632,"PvP"
"PvP_148",31108,"PvP"
"PvP_149",53286,"PvP"
"PvP_150",40241,"PvP"
"PvP_151",24277,"PvP"
"PvP_152",22252,"PvP"
"PvP_153",42207,"PvP"
"PvP_154",74417,"PvP"
"PvP_155",29546,"PvP"
"PvP_157",19470,"PvP"
"PvP_159",15330,"PvP"
"PvP_160",40666,"PvP"
"PvP_161",18577,"PvP"
"PvP_162",36512,"PvP"
"PvP_163",46752,"PvP"
"PvP_164",30073,"PvP"
"PvP_165",48473,"PvP"
"PvP_166",61970,"PvP"
"PvP_167",19383,"PvP"
"PvP_168",37785,"PvP"
"PvP_169",38493,"PvP"
"PvP_170",30001,"PvP"
"PvP_171",54765,"PvP"
"PvP_172",27200,"PvP"
"PvP_173",48892,"PvP"
"PvP_174",35283,"PvP"
"PvP_175",24400,"PvP"
"PvP_176",20482,"PvP"
"PvP_177",35778,"PvP"
"PvP_178",42188,"PvP"
"PvP_179",63082,"PvP"
"PvP_180",32488,"PvP"
"PvP_183",34771,"PvP"
"PvP_185",38082,"PvP"
"PvP_187",29559,"PvP"
"PvP_188",22294,"PvP"
"PvP_189",33911,"PvP"
"PvP_190",36686,"PvP"
"PvP_191",61977,"PvP"
"PvP_192",16720,"PvP"
"PvP_193",22328,"PvP"
"PvP_194",34042,"PvP"
"PvP_195",29524,"PvP"
"PvP_198",4291,"PvP"
"PvP_199",29076,"PvP"
"PvP_201",24333,"PvP"
"PvP_202",41334,"PvP"
"PvP_205",33505,"PvP"
"PvP_206",50311,"PvP"
"PvP_208",18194,"PvP"
"PvP_209",26419,"PvP"
"PvP_210",15936,"PvP"
"PvP_212",21737,"PvP"
"PvP_214",48316,"PvP"
"PvP_216",32360,"PvP"
"PvP_217",9526,"PvP"
"PvP_218",29819,"PvP"
"PvP_219",29598,"PvP"
"PvP_220",23242,"PvP"
"PvP_221",31319,"PvP"
"PvP_222",52794,"PvP"
"PvP_223",25007,"PvP"
"PvP_224",26444,"PvP"
"PvP_225",32430,"PvP"
"PvP_227",51837,"PvP"
"PvP_229",38046,"PvP"
"PvP_230",15351,"PvP"
"PvP_231",16389,"PvP"
"PvP_232",72513,"PvP"
"PvP_233",6619,"PvP"
"PvP_236",37344,"PvP"
"PvP_237",15964,"PvP"
"PvP_238",32743,"PvP"
"PvP_239",39183,"PvP"
"PvP_241",24060,"PvP"
"PvP_242",14590,"PvP"
"PvP_243",12526,"PvP"
"PvP_244",20817,"PvP"
"PvP_246",24477,"PvP"
"PvP_248",17837,"PvP"
"PvP_250",14661,"PvP"
"PvP_251",24469,"PvP"
"PvP_252",34000,"PvP"
"PvP_253",21963,"PvP"
"PvP_254",21457,"PvP"
"PvP_255",35356,"PvP"
"PvP_256",25631,"PvP"
"PvP_257",60604,"PvP"
"PvP_260",9149,"PvP"
"PvP_262",35003,"PvP"
"PvP_265",16665,"PvP"
"PvP_266",23849,"PvP"
"PvP_268",42475,"PvP"
"PvP_269",28483,"PvP"
"PvP_270",10580,"PvP"
"PvP_271",209207,"PvP"
"PvP_272",27227,"PvP"
"PvP_273",5236,"PvP"
"PvP_274",12802,"PvP"
"PvP_275",28982,"PvP"
"PvP_277",33686,"PvP"
"PvP_278",12564,"PvP"
"PvP_280",37514,"PvP"
"PvP_281",71642,"PvP"
"PvP_282",31733,"PvP"
"PvP_284",23064,"PvP"
"PvP_286",32464,"PvP"
"PvP_287",28270,"PvP"
"PvP_288",58718,"PvP"
"PvP_291",54850,"PvP"
"PvP_293",25355,"PvP"
"PvP_295",35982,"PvP"
"PvP_299",37730,"PvP"
"PvP_300",25034,"PvP"
"PvP_303",21476,"PvP"
"PvP_305",39310,"PvP"
"PvP_307",25907,"PvP"
"PvP_319",17210,"PvP"
"PvP_320",6265,"PvP"
"PvP_321",20404,"PvP"
"PvP_323",19954,"PvP"
"PvP_325",27266,"PvP"
"PvP_326",36423,"PvP"
"PvP_327",17176,"PvP"
"PvP_328",13897,"PvP"
"PvP_329",12355,"PvP"
"PvP_330",12032,"PvP"
"PvP_331",28153,"PvP"
"PvP_332",22052,"PvP"
"PvP_333",19086,"PvP"
"PvP_334",14081,"PvP"
"PvP_335",16127,"PvP"
"PvP_336",19873,"PvP"
"PvP_337",20527,"PvP"
"PvP_338",22484,"PvP"
"PvP_339",22149,"PvP"
"PvP_340",27506,"PvP"
"PvP_341",15791,"PvP"
"PvP_342",18682,"PvP"
"PvP_343",49631,"PvP"
"PvP_346",61094,"PvP"
"PvP_347",55866,"PvP"
"PvP_348",63850,"PvP"
"PvP_349",10074,"PvP"
"PvP_351",29705,"PvP"
"PvP_352",17210,"PvP"
"PvP_353",23840,"PvP"
"PvP_354",24869,"PvP"
"PvP_355",9207,"PvP"
"PvP_356",7729,"PvP"
"PvP_361",15330,"PvP"
"PvP_362",43172,"PvP"
"PvP_363",39954,"PvP"
"PvP_364",25983,"PvP"
"PvP_365",29667,"PvP"
"PvP_366",35400,"PvP"
"PvP_367",27347,"PvP"
"PvP_369",30504,"PvP"
"PvP_370",21450,"PvP"
"PvP_371",26174,"PvP"
"PvP_372",35974,"PvP"
"PvP_373",41433,"PvP"
"PvP_374",35944,"PvP"
"PvP_375",11687,"PvP"
"PvP_376",14930,"PvP"
"PvP_377",20760,"PvP"
"PvP_378",34636,"PvP"
"PvP_379",26543,"PvP"
"PvP_380",12706,"PvP"
"PvP_381",18541,"PvP"
"PvP_382",29545,"PvP"
"PvP_383",17043,"PvP"
"PvP_384",35626,"PvP"
"PvP_385",42995,"PvP"
"PvP_386",93504,"PvP"
"PvP_387",37018,"PvP"
"PvP_388",25874,"PvP"
"PvP_389",31553,"PvP"
"PvP_390",19064,"PvP"
"PvP_391",50677,"PvP"
"PvP_392",34050,"PvP"
"PvP_393",31102,"PvP"
"PvP_394",33543,"PvP"
"PvP_395",47126,"PvP"
"PvP_397",70655,"PvP"
"PvP_398",78312,"PvP"
"PvP_399",34809,"PvP"
"PvP_401",66028,"PvP"
"PvP_402",22578,"PvP"
"PvP_403",27271,"PvP"
"PvP_404",25821,"PvP"
"PvP_405",12961,"PvP"
"PvP_406",23906,"PvP"
"PvP_407",57760,"PvP"
"PvP_410",36900,"PvP"
"PvP_411",21854,"PvP"
"PvP_412",20495,"PvP"
"PvP_413",16892,"PvP"
"PvP_414",10875,"PvP"
"PvP_415",36332,"PvP"
"PvP_416",54283,"PvP"
"PvP_417",10545,"PvP"
"PvP_418",16904,"PvP"
"PvP_419",9432,"PvP"
"PvP_420",46158,"PvP"
"PvP_421",28874,"PvP"
"PvP_422",27747,"PvP"
"PvP_424",64849,"PvP"
"PvP_425",92824,"PvP"
"PvP_426",32023,"PvP"
"PvP_427",21670,"PvP"
"PvP_428",25348,"PvP"
"PvP_429",21126,"PvP"
"PvP_430",20660,"PvP"
"PvP_431",34775,"PvP"
"PvP_432",52104,"PvP"
"PvP_433",11710,"PvP"
"PvP_434",72525,"PvP"
"PvP_435",23210,"PvP"
"PvP_436",34264,"PvP"
"PvP_437",53393,"PvP"
"PvP_438",38539,"PvP"
"PvP_439",20546,"PvP"
"PvP_440",34934,"PvP"
"PvP_441",10390,"PvP"
"PvP_449",41686,"PvP"
"PvP_450",23743,"PvP"
"PvP_451",19039,"PvP"
"PvP_452",37042,"PvP"
"PvP_455",37042,"PvP"
"PvP_456",6358,"PvP"
"PvP_457",19259,"PvP"
"PvP_458",19738,"PvP"
"PvP_460",34126,"PvP"
"PvP_462",26080,"PvP"
"PvP_464",81648,"PvP"
"PvP_467",15904,"PvP"
"PvP_468",53196,"PvP"
"PvP_469",36528,"PvP"
"PvP_470",16647,"PvP"
"PvP_471",32308,"PvP"
"PvP_472",36004,"PvP"
"PvP_473",32878,"PvP"
"PvP_474",78085,"PvP"
"PvP_475",50577,"PvP"
"PvP_476",33854,"PvP"
"PvP_477",74331,"PvP"
"PvP_478",27565,"PvP"
"PvP_479",16128,"PvP"
"PvP_480",8993,"PvP"
"PvP_482",16640,"PvP"
"PvP_483",61725,"PvP"
"PvP_484",31805,"PvP"
"PvP_485",42716,"PvP"
"PvP_486",13419,"PvP"
"PvP_487",36592,"PvP"
"PvP_488",33174,"PvP"
"PvP_489",40662,"PvP"
"PvP_490",40671,"PvP"
"PvP_491",37567,"PvP"
"PvP_495",31251,"PvP"
"PvP_496",42251,"PvP"
